,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity,Absolute Intensity
3.000,317922,311528,309979,330542,330996,325947,328264,310759,338488,304313,314230,314661,314750,302717,298979,297839,297971,309659,316217,299123
3.004,311137,308142,304227,326271,323657,319870,320559,308704,330504,303512,307530,305999,309948,297200,293731,293145,293807,304206,308500,295362
3.008,306427,304210,300177,318349,313331,314816,311504,304190,319415,295667,302274,297408,304233,290603,286132,285060,284872,298273,298401,287729
3.013,303479,298178,300312,313368,305806,311193,304597,295957,311662,286726,294777,293350,300221,286216,281882,277969,277329,293303,292042,281472
3.017,300522,292173,295693,308631,301287,304821,297244,290055,307657,282652,283933,292071,296586,282616,277502,273612,273842,288023,290120,276890
3.021,297109,289013,287974,301865,299685,297729,295209,286140,304980,280629,278862,290337,291831,280171,272554,271750,269917,282502,290232,273424
3.025,295551,284997,285715,295104,298685,292605,294960,282043,302838,276965,281900,285910,288853,278143,271760,268493,266501,278135,286241,269015
3.029,292328,281005,283234,291940,297540,291916,293259,279798,302545,273618,283060,281657,286290,276596,270457,265813,266524,278617,279075,265012
3.033,287415,281329,279934,288294,293744,289093,287129,279590,301507,271993,278890,278056,281891,274937,266637,265024,265223,277595,274916,261939
3.038,285644,278898,280206,289267,288304,284629,281897,276295,295991,269521,276018,273799,276204,270903,263171,262956,262587,274025,275901,258102
3.042,283674,273249,278253,292869,283491,280996,279604,272386,290374,267116,273701,271401,276834,266247,261818,259991,262117,272861,272389,254202
3.046,278335,269548,272595,290786,278105,279120,279489,270649,288165,264877,272796,270355,276664,263162,261250,255459,261367,271324,267939,251872
3.050,272769,268635,268833,284205,275037,278460,279378,267990,285512,262146,270772,269942,272715,260360,259962,253159,257107,268220,265953,252785
3.054,270902,270447,266944,280098,273930,275225,275816,265494,281539,259617,265887,266165,269360,258260,257158,255213,251580,266576,265342,252729
3.058,269974,268820,263972,279287,274261,271214,271495,264012,282836,257872,262102,262198,268511,258236,254120,255525,247490,263352,265029,251037
3.063,268948,263635,267159,278414,273087,269366,268802,263423,283731,254132,259620,259896,267091,257131,250090,252339,243875,259104,261127,248048
