"date","close","volume","open","high","low"
"14:44","227.005","15,476,322","224.76","227.75","222.41"
"2018/04/09","215.4100","12435730.0000","216.8000","221.9700","214.6000"
"2018/04/06","214.2500","16554640.0000","217.2300","221.6000","213.0735"
"2018/04/05","221.3800","17402790.0000","228.6000","229.1300","218.4900"
"2018/04/04","226.2400","19692540.0000","215.0100","226.6606","214.0000"
"2018/04/03","225.3500","16641470.0000","227.8000","230.3500","221.3500"
"2018/04/02","221.0500","22947350.0000","228.7400","234.6500","217.5000"
"2018/03/29","231.5900","22809960.0000","224.1050","235.5000","220.7002"
"2018/03/28","221.3500","23603850.0000","224.1300","229.3900","217.0000"
"2018/03/27","225.5200","35119940.0000","247.7500","250.0000","219.8450"
"2018/03/26","244.4800","15254960.0000","238.0000","244.5300","235.9000"
"2018/03/23","232.9700","18371070.0000","242.4000","242.6700","232.5200"
"2018/03/22","241.8500","13714630.0000","246.0000","247.8800","240.3410"
"2018/03/21","248.5600","10947040.0000","249.3200","252.0000","247.3300"
"2018/03/20","249.5800","13825530.0000","241.1200","251.1500","241.1200"
"2018/03/19","241.0000","17704920.0000","248.1800","249.3500","237.0000"
"2018/03/16","250.4800","9972710.0000","250.0000","251.2500","248.4800"
"2018/03/15","249.3400","10026320.0000","249.2900","252.6200","247.6400"
"2018/03/14","248.7400","12610730.0000","249.4500","250.5500","246.2200"
"2018/03/13","247.7100","15453890.0000","251.4900","254.5000","246.0400"
"2018/03/12","249.7600","15093790.0000","247.0000","253.0000","246.6723"
"2018/03/09","245.3300","12620670.0000","243.1000","245.8500","242.4501"
"2018/03/08","241.1800","10342980.0000","242.9500","242.9500","239.3907"
"2018/03/07","241.8400","14517220.0000","238.0000","243.9500","237.9500"
"2018/03/06","242.1600","15633300.0000","239.1000","242.9400","237.3600"
"2018/03/05","235.6500","15489020.0000","234.5100","237.2500","229.5210"
"2018/03/02","236.5400","22808880.0000","227.8600","236.8000","221.8500"
"2018/03/01","232.2100","25981010.0000","241.9100","244.0900","228.1248"
"2018/02/28","242.0000","13018510.0000","246.5000","248.1000","241.5300"
"2018/02/27","246.0600","11359680.0000","245.5000","248.9100","245.1300"
"2018/02/26","246.5800","11677750.0000","247.8000","247.9800","244.0600"
"2018/02/23","245.9300","10345260.0000","244.5700","245.9300","242.5201"
"2018/02/22","242.1500","13333990.0000","242.7300","245.6300","239.5000"
"2018/02/21","241.5100","21106470.0000","251.6900","251.9675","241.3600"
"2018/02/20","249.0800","17117670.0000","244.7500","251.8700","244.6000"
"2018/02/16","243.8400","15926040.0000","245.4000","250.0000","243.4700"
"2018/02/15","246.5000","17428110.0000","244.7850","248.3700","241.5200"
"2018/02/14","241.4200","18567440.0000","231.0000","242.5925","230.5500"
"2018/02/13","232.6300","15615160.0000","226.5600","234.5000","225.2500"
"2018/02/12","228.0300","27253860.0000","235.3550","235.4800","225.0305"
"2018/02/09","232.0800","41816880.0000","238.2500","238.8900","217.5200"
"2018/02/08","217.5200","27093560.0000","233.8800","235.2200","217.5100"
"2018/02/07","228.8000","20029760.0000","229.5800","234.9700","226.7000"
"2018/02/06","225.5800","27645680.0000","204.4000","225.7000","204.0000"
"2018/02/05","213.7000","28976420.0000","227.0000","233.2300","205.0000"
"2018/02/02","233.5200","17890080.0000","237.0000","237.9700","231.1700"
"2018/02/01","240.5000","12890850.0000","238.5200","246.9000","238.0600"
"2018/01/31","245.8000","11907100.0000","245.7700","249.2700","244.4500"
"2018/01/30","242.7200","14227640.0000","241.1100","246.4200","238.4100"
"2018/01/29","246.8500","11360710.0000","242.7400","248.1100","240.6100"
"2018/01/26","243.3300","12874330.0000","238.1200","243.3400","237.6000"
"2018/01/25","236.3500","10219440.0000","238.0000","239.7500","235.7500"
"2018/01/24","235.8000","14497040.0000","239.0400","240.4936","233.5500"
"2018/01/23","238.9100","11796460.0000","235.8500","239.8300","235.1010"
"2018/01/22","233.6900","13734090.0000","230.4300","233.7600","228.1000"
"2018/01/19","230.1100","14741830.0000","228.0900","231.0900","227.0000"
"2018/01/18","224.4400","10184270.0000","223.9400","226.6400","222.6800"
"2018/01/17","224.7200","13429320.0000","220.7000","225.1200","216.9000"
"2018/01/16","220.1100","17249950.0000","224.0500","227.5100","216.6900"
"2018/01/12","222.9800","8984239.0000","223.6000","224.9900","221.3400"
"2018/01/11","224.0800","9949932.0000","225.0000","226.2700","223.2100"
"2018/01/10","223.6800","14467610.0000","218.2000","223.8200","216.0000"
"2018/01/09","221.9400","12406250.0000","222.2200","223.8200","218.6400"
"2018/01/08","222.0000","21763590.0000","220.4000","225.0000","218.5800"
"2018/01/05","215.4000","14427000.0000","214.1900","216.9100","211.0800"
"2018/01/04","213.5900","14551390.0000","215.7600","218.0500","212.6900"
"2018/01/03","212.4700","22749780.0000","204.1000","213.7000","203.7500"
"2018/01/02","199.3500","8715156.0000","195.7800","199.5000","194.5000"
"2017/12/29","193.5000","6977102.0000","198.4600","198.4600","193.5000"
"2017/12/28","197.4000","5997964.0000","198.1300","199.3800","197.1514"
"2017/12/27","197.1700","8220869.0000","196.9000","199.9700","196.3100"
"2017/12/26","197.4400","8859009.0000","193.0300","197.7500","191.8200"
"2017/12/22","195.2700","11645140.0000","194.4000","195.6500","191.2500"
"2017/12/21","195.8900","7510200.0000","196.9400","197.9500","195.5500"
"2017/12/20","196.8000","7212910.0000","197.7000","198.0700","194.5500"
"2017/12/19","196.1100","9282951.0000","197.5200","197.7300","194.9600"
"2017/12/18","197.9000","11889570.0000","193.2000","198.0200","192.0000"
"2017/12/15","191.5600","16718060.0000","188.2510","192.3800","185.6200"
"2017/12/14","186.4700","10922590.0000","185.9200","189.3400","184.6000"
"2017/12/13","186.1800","13823140.0000","192.5000","192.5500","185.8800"
"2017/12/12","190.8400","11339760.0000","192.9000","193.8400","189.8900"
"2017/12/11","194.6600","9268667.0000","192.0600","194.7800","191.4200"
"2017/12/08","191.4900","11531930.0000","194.0100","194.7800","191.1500"
"2017/12/07","191.9900","13393890.0000","191.9600","193.6000","190.1200"
"2017/12/06","189.2600","11595980.0000","185.7000","190.1400","184.8400"
"2017/12/05","187.7400","24512180.0000","182.4000","192.7000","180.5800"
"2017/12/04","186.6600","30960100.0000","200.0500","200.3000","184.5000"
