"date","close","volume","open","high","low"

"2018/04/06","38.5400","5726528.0000","38.0400","38.6401","37.8600"
"2018/04/05","38.5500","4691316.0000","37.4900","38.7000","37.2000"
"2018/04/04","37.0600","4173270.0000","36.5500","37.2800","36.3100"
"2018/04/03","36.9200","3592814.0000","37.4300","38.0700","36.7100"
"2018/04/02","36.9100","2475027.0000","36.9400","37.2100","36.0700"
"2018/03/29","36.9600","1938659.0000","36.6500","37.2300","36.0000"
"2018/03/28","36.3800","1837875.0000","36.2600","37.4800","35.6300"
"2018/03/27","36.1400","2004502.0000","37.9500","37.9900","36.0400"
"2018/03/26","37.7900","2121208.0000","36.6900","37.8300","36.3000"
"2018/03/23","36.2200","1697594.0000","36.1300","37.1700","35.7770"
"2018/03/22","36.0100","1221099.0000","36.1900","36.6950","35.6900"
"2018/03/21","36.5300","709058.0000","36.3900","36.8400","36.2800"
"2018/03/20","36.3800","1117397.0000","35.7000","36.6500","35.4500"
"2018/03/19","35.7500","1332515.0000","35.7000","36.2400","35.3010"
"2018/03/16","35.9300","1894928.0000","35.5400","36.3800","35.1500"
"2018/03/15","35.3800","1592949.0000","35.2700","35.7700","35.0900"
"2018/03/14","35.3000","1520568.0000","35.6700","35.8300","34.7850"
"2018/03/13","35.4600","2019951.0000","35.3600","35.5400","34.8400"
"2018/03/12","35.0600","2082834.0000","35.8800","36.2500","34.8601"
"2018/03/09","35.8800","2237293.0000","35.1100","35.9100","35.0100"
"2018/03/08","35.1300","3464627.0000","37.1300","37.2000","34.9400"
"2018/03/07","37.0700","6251770.0000","37.7300","38.2800","36.2800"
"2018/03/06","36.9800","5135582.0000","36.6200","37.1800","35.9600"
"2018/03/05","36.2300","6718500.0000","36.3500","36.9000","35.7400"
"2018/03/02","36.4800","1994449.0000","34.5900","36.6900","34.4700"
"2018/03/01","35.1600","1788128.0000","35.1700","35.7200","34.3300"
"2018/02/28","35.2900","2406311.0000","36.2900","36.6600","35.2000"
"2018/02/27","35.9700","2550518.0000","36.9300","38.0600","35.2910"
"2018/02/26","37.1100","1569484.0000","37.1500","37.5100","36.5900"
"2018/02/23","37.0500","2303218.0000","35.6000","37.0900","35.6000"
"2018/02/22","35.3800","1071176.0000","35.8300","36.0800","35.2700"
"2018/02/21","35.5400","1524283.0000","35.2000","36.2200","35.2000"
"2018/02/20","35.2300","1937962.0000","35.1600","36.0300","34.7000"
"2018/02/16","35.3800","1332182.0000","35.8500","36.4900","35.2500"
"2018/02/15","36.0700","1726548.0000","36.0000","36.3900","34.8400"
