"date","close","volume","open","high","low"

"2018/04/06","48.4600","79268150.0000","47.7200","50.4800","47.2600"
"2018/04/05","49.8400","87646670.0000","52.0600","52.2000","49.1900"
"2018/04/04","53.3900","60033680.0000","49.6200","53.5000","49.2600"
"2018/04/03","51.5500","52311920.0000","50.8000","51.7702","50.3200"
"2018/04/02","50.0600","59573170.0000","51.5400","51.7200","49.5600"
"2018/03/29","52.1400","60805430.0000","52.1600","52.6800","51.1400"
"2018/03/28","51.4900","62908010.0000","51.9300","53.3500","50.7000"
"2018/03/27","52.4000","67650910.0000","55.0600","55.4700","51.6800"
"2018/03/26","55.5600","69915680.0000","56.2600","56.7100","52.7200"
"2018/03/23","54.2100","118150100.0000","57.6900","58.8000","53.6800"
"2018/03/22","58.9200","72522310.0000","60.0700","60.3000","58.1100"
"2018/03/21","61.0700","50973540.0000","61.3500","61.7200","60.6000"
"2018/03/20","61.1500","53730830.0000","60.1000","61.2500","59.8000"
"2018/03/19","60.1400","70861300.0000","60.3600","60.9900","58.7500"
"2018/03/16","60.5800","68188250.0000","60.0000","60.6900","59.2100"
"2018/03/15","58.8400","49484360.0000","59.7700","60.1500","58.2300"
"2018/03/14","59.7800","80162460.0000","59.3200","60.0600","57.5600"
"2018/03/13","59.4300","141439500.0000","62.1700","63.4200","58.5200"
"2018/03/12","59.3700","137836300.0000","56.5000","61.1700","56.3500"
"2018/03/09","54.5900","65360810.0000","55.7600","55.8300","53.6200"
"2018/03/08","55.2200","51657770.0000","54.5850","55.4700","54.3000"
"2018/03/07","53.9700","61467380.0000","53.3400","55.0000","53.1250"
"2018/03/06","53.7400","72079020.0000","53.4000","54.6400","53.2100"
"2018/03/05","52.0300","70056020.0000","48.8000","52.3600","48.7200"
"2018/03/02","49.1100","51636420.0000","46.3600","49.2500","45.9500"
"2018/03/01","47.6200","61117690.0000","48.7700","48.8100","46.7700"
"2018/02/28","48.8100","44892080.0000","48.8000","49.4600","48.3500"
"2018/02/27","48.5800","44619400.0000","47.6600","48.9900","47.4200"
"2018/02/26","47.9800","41923210.0000","46.9700","48.2300","46.7000"
"2018/02/23","46.5300","48404250.0000","45.1800","46.8000","45.0200"
"2018/02/22","44.2500","23789340.0000","44.7800","44.8300","44.0400"
"2018/02/21","44.5400","31545530.0000","45.3700","45.5500","44.5200"
"2018/02/20","44.9000","35955570.0000","44.0200","45.2700","43.9000"
"2018/02/16","44.2100","49186160.0000","43.2900","45.1100","43.1300"
"2018/02/15","43.5000","34988420.0000","43.7250","43.9200","42.2600"
"2018/02/14","43.4500","36691440.0000","41.9300","43.6300","41.9300"
"2018/02/13","42.6300","30251570.0000","42.0500","42.9200","41.9800"
"2018/02/12","42.1900","47834450.0000","41.0100","42.6800","40.8800"
"2018/02/09","40.4100","65129130.0000","41.0500","41.1900","37.5200"
"2018/02/08","40.0000","53578400.0000","42.5200","43.0300","40.0000"
"2018/02/07","42.0100","50779760.0000","43.2600","43.5600","41.7400"
"2018/02/06","43.8800","66502910.0000","40.5500","43.9300","40.5500"
"2018/02/05","39.4000","45422700.0000","40.1400","41.5300","39.0100"
"2018/02/02","40.8200","40520250.0000","42.0000","42.2100","40.6100"
"2018/02/01","42.4900","35006060.0000","43.0400","44.0900","42.1000"
"2018/01/31","43.7200","44923550.0000","42.9800","43.9600","42.7700"
"2018/01/30","41.6700","38024130.0000","41.9900","42.7950","41.4700"
"2018/01/29","43.2900","29171620.0000","43.2500","43.4200","42.3800"
"2018/01/26","43.6700","27138710.0000","43.2200","43.8050","43.0300"
"2018/01/25","43.0100","40362580.0000","44.2300","44.7200","42.8600"
"2018/01/24","43.0800","30684100.0000","43.7600","43.9500","42.7367"
"2018/01/23","43.9500","41039230.0000","43.2500","44.6600","42.7300"
"2018/01/22","42.8800","37786830.0000","42.4700","42.8800","41.6800"
"2018/01/19","42.7500","41183070.0000","43.9500","44.2000","42.6510"
"2018/01/18","43.9900","25095670.0000","44.2100","44.6500","43.9100"
